Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
263,,CASH,Candy ,Candy ,0.00,20.42,Drive Box,8/25/25 12:35 PM,8/25/25 12:31 PM
234,17,CREDIT,Rosa,Maria,6.00,34.59,,8/25/25 12:37 PM,8/25/25 11:57 AM
269,,CREDIT,Candy ,Candy ,0.00,9.61,,8/25/25 12:38 PM,8/25/25 12:35 PM
239,4,CREDIT,Silvia,Silvia,5.00,21.78,,8/25/25 12:39 PM,8/25/25 12:00 PM
264,4,CASH,Silvia,Silvia,0.00,12.94,,8/25/25 12:39 PM,8/25/25 12:31 PM
235,40,CREDIT,Maria,Maria,6.00,35.14,,8/25/25 12:41 PM,8/25/25 11:58 AM
226,42,CREDIT,Silvia,Silvia,0.00,10.51,,8/25/25 12:44 PM,8/25/25 11:47 AM
274,,CREDIT,Candy ,Candy ,0.00,12.20,,8/25/25 12:44 PM,8/25/25 12:44 PM
258,38,CASH,Rosa,Rosa,0.00,10.05,,8/25/25 12:50 PM,8/25/25 12:20 PM
247,36,CASH,Rosa,Rosa,0.00,40.05,,8/25/25 12:50 PM,8/25/25 12:11 PM
246,35,CREDIT,Maria,Maria,0.00,50.26,,8/25/25 12:51 PM,8/25/25 12:08 PM
255,24,CREDIT,Rosa,Rosa,5.00,22.60,,8/25/25 12:53 PM,8/25/25 12:19 PM
275,,CREDIT,Candy ,Candy ,0.00,8.20,,8/25/25 12:54 PM,8/25/25 12:44 PM
276,,CREDIT,Candy ,Candy ,0.00,14.26,,8/25/25 12:55 PM,8/25/25 12:45 PM
278,,CREDIT,Candy ,Candy ,0.00,32.45,,8/25/25 12:56 PM,8/25/25 12:55 PM
268,32,CREDIT,Maria,Maria,0.00,21.06,,8/25/25 12:57 PM,8/25/25 12:37 PM
279,,CASH,Ivana,Ivana,0.00,6.48,Front Left,8/25/25 12:57 PM,8/25/25 12:57 PM
254,22,CREDIT,Rosa,,2.91,14.31,,8/25/25 12:58 PM,8/25/25 12:20 PM
250,18,CASH,Silvia,Silvia,0.00,12.97,,8/25/25 12:58 PM,8/25/25 12:13 PM
252,3,CASH,Silvia,Silvia,0.00,32.70,,8/25/25 12:59 PM,8/25/25 12:16 PM
271,16,CASH,Rosa,Rosa,0.00,19.01,,8/25/25 1:05 PM,8/25/25 12:39 PM
237,31,CASH,Rosa,Rosa,0.00,21.02,,8/25/25 1:06 PM,8/25/25 11:59 AM
281,,CASH,Ivana,Ivana,0.00,8.97,Front Left,8/25/25 1:08 PM,8/25/25 1:08 PM
280,,CASH,Candy ,Candy ,0.00,3.24,Drive Box,8/25/25 1:09 PM,8/25/25 1:08 PM
248,10,CREDIT,Silvia,Silvia,0.00,23.78,,8/25/25 1:13 PM,8/25/25 12:12 PM
283,,CREDIT,Candy ,Candy ,1.00,26.20,,8/25/25 1:13 PM,8/25/25 1:10 PM
272,15,CREDIT,Rosa,Ivana,0.00,20.54,,8/25/25 1:14 PM,8/25/25 12:40 PM
267,23,CREDIT,Silvia,Silvia,3.00,19.95,,8/25/25 1:14 PM,8/25/25 12:33 PM
253,2,CASH,Maria,Maria,0.00,17.82,,8/25/25 1:16 PM,8/25/25 12:16 PM
284,,CASH,Candy ,Candy ,0.00,9.61,Drive Box,8/25/25 1:16 PM,8/25/25 1:10 PM
270,20,CREDIT,Rosa,Rosa,0.00,23.46,,8/25/25 1:17 PM,8/25/25 12:38 PM
287,,CREDIT,Candy ,Candy ,10.00,14.53,,8/25/25 1:18 PM,8/25/25 1:11 PM
277,,CREDIT,Candy ,Candy ,0.00,5.29,,8/25/25 1:19 PM,8/25/25 12:54 PM
289,,CREDIT,Ivana,Ivana,0.00,17.73,,8/25/25 1:23 PM,8/25/25 1:16 PM
282,,CREDIT,Candy ,Candy ,0.00,15.12,,8/25/25 1:24 PM,8/25/25 1:09 PM
273,33,CASH,Silvia,Silvia,0.00,42.17,,8/25/25 1:27 PM,8/25/25 12:44 PM
290,,CREDIT,Candy ,Candy ,0.00,11.90,,8/25/25 1:27 PM,8/25/25 1:25 PM
,,CASH_COLLECTED,Maria,Maria,0.00,136.83*,House,8/25/25 1:30 PM,8/25/25 1:30 PM
,,TIP_OUT,Maria,Maria,-39.44,0.00,House,8/25/25 1:30 PM,8/25/25 1:30 PM
291,,CREDIT,Candy ,Candy ,0.00,11.22,,8/25/25 1:32 PM,8/25/25 1:32 PM
